Date,Close,High,Low,Open,Volume,symbol
,AAPL,AAPL,AAPL,AAPL,AAPL,
2026-03-16,252.82000732421875,253.88999938964844,249.8800048828125,252.11000061035156,32074200,AAPL
2026-03-17,254.22999572753906,255.1300048828125,252.17999267578125,252.9600067138672,32361600,AAPL
2026-03-18,249.94000244140625,254.94000244140625,249.0,252.6300048828125,35757900,AAPL
2026-03-19,248.9600067138672,251.8300018310547,247.3000030517578,249.39999389648438,34864100,AAPL
2026-03-20,247.99000549316406,249.1999969482422,246.0,247.97999572753906,88331100,AAPL
2026-03-23,251.49000549316406,254.60000610351562,250.27999877929688,253.97000122070312,40546100,AAPL
2026-03-24,251.63999938964844,254.8300018310547,249.5500030517578,250.35000610351562,45152300,AAPL
2026-03-25,252.6199951171875,255.0,251.60000610351562,254.10000610351562,28476700,AAPL
2026-03-26,252.88999938964844,257.0,250.77000427246094,252.1199951171875,41796700,AAPL
2026-03-27,248.8000030517578,255.49000549316406,248.07000732421875,253.89999389648438,47900000,AAPL
2026-03-30,246.6300048828125,250.8699951171875,245.50999450683594,250.07000732421875,39446200,AAPL
2026-03-31,253.7899932861328,255.47999572753906,247.10000610351562,247.91000366210938,49598100,AAPL
2026-04-01,255.6300048828125,256.17999267578125,253.3300018310547,254.0800018310547,40059400,AAPL
2026-04-02,255.9199981689453,256.1300048828125,250.64999389648438,254.1999969482422,31289400,AAPL
2026-04-06,258.8599853515625,262.1600036621094,256.4599914550781,256.510009765625,29329900,AAPL
2026-04-07,253.5,256.20001220703125,245.6999969482422,256.1600036621094,62148000,AAPL
2026-04-08,258.8999938964844,259.75,256.5299987792969,258.45001220703125,41032800,AAPL
2026-04-09,260.489990234375,261.1199951171875,256.07000732421875,259.0,28121600,AAPL
2026-04-10,260.4800109863281,262.19000244140625,259.0199890136719,259.9800109863281,31291500,AAPL
2026-04-13,259.20001220703125,260.17999267578125,256.6600036621094,259.7300109863281,35196600,AAPL
2026-04-14,259.3999938964844,261.92999267578125,257.1900939941406,259.1000061035156,19379372,AAPL
