Date,Open,High,Low,Close,Volume,symbol
2026-03-16,252.11000061035156,253.88999938964844,249.8800048828125,252.82000732421875,32074200,AAPL
2026-03-17,252.9600067138672,255.1300048828125,252.17999267578125,254.22999572753906,32361600,AAPL
2026-03-18,252.6300048828125,254.94000244140625,249.0,249.94000244140625,35757900,AAPL
2026-03-19,249.39999389648438,251.8300018310547,247.3000030517578,248.9600067138672,34864100,AAPL
2026-03-20,247.97999572753906,249.1999969482422,246.0,247.99000549316406,88331100,AAPL
2026-03-23,253.97000122070312,254.60000610351562,250.27999877929688,251.49000549316406,40546100,AAPL
2026-03-24,250.35000610351562,254.8300018310547,249.5500030517578,251.63999938964844,45152300,AAPL
2026-03-25,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700,AAPL
2026-03-26,252.1199951171875,257.0,250.77000427246094,252.88999938964844,41796700,AAPL
2026-03-27,253.89999389648438,255.49000549316406,248.07000732421875,248.8000030517578,47900000,AAPL
2026-03-30,250.07000732421875,250.8699951171875,245.50999450683594,246.6300048828125,39446200,AAPL
2026-03-31,247.91000366210938,255.47999572753906,247.10000610351562,253.7899932861328,49598100,AAPL
2026-04-01,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,40059400,AAPL
2026-04-02,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,31289400,AAPL
2026-04-06,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,29329900,AAPL
2026-04-07,256.1600036621094,256.20001220703125,245.6999969482422,253.5,62148000,AAPL
2026-04-08,258.45001220703125,259.75,256.5299987792969,258.8999938964844,41032800,AAPL
2026-04-09,259.0,261.1199951171875,256.07000732421875,260.489990234375,28121600,AAPL
2026-04-10,259.9800109863281,262.19000244140625,259.0199890136719,260.4800109863281,31291500,AAPL
2026-04-13,259.7300109863281,260.17999267578125,256.6600036621094,259.20001220703125,35196600,AAPL
2026-04-14,259.1000061035156,261.92999267578125,257.1900939941406,258.5799865722656,21273982,AAPL
2026-03-16,396.2200012207031,403.7300109863281,394.4200134277344,395.55999755859375,58068300,TSLA
2026-03-17,395.69000244140625,400.1199951171875,393.0,399.2699890136719,46890500,TSLA
2026-03-18,399.0,403.07000732421875,392.30999755859375,392.7799987792969,50853100,TSLA
2026-03-19,387.2699890136719,387.2699890136719,378.7300109863281,380.29998779296875,67078300,TSLA
2026-03-20,379.8500061035156,379.8900146484375,364.4599914550781,367.9599914550781,78628600,TSLA
2026-03-23,373.0899963378906,385.3299865722656,372.7300109863281,380.8500061035156,74606000,TSLA
2026-03-24,376.55999755859375,387.4800109863281,376.30999755859375,383.0299987792969,60004900,TSLA
2026-03-25,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300,TSLA
2026-03-26,381.6000061035156,384.44000244140625,371.8699951171875,372.1099853515625,55522900,TSLA
2026-03-27,369.69000244140625,369.8599853515625,359.4700012207031,361.8299865722656,62065700,TSLA
2026-03-30,365.8599853515625,367.2900085449219,352.1400146484375,355.2799987792969,67954400,TSLA
2026-03-31,361.510009765625,373.3299865722656,361.0,371.75,75534900,TSLA
2026-04-01,378.6300048828125,383.1400146484375,374.0799865722656,381.260009765625,58683800,TSLA
2026-04-02,364.20001220703125,370.2799987792969,359.0299987792969,360.5899963378906,83031200,TSLA
2026-04-06,362.5899963378906,367.7200012207031,346.6400146484375,352.82000732421875,77697600,TSLA
2026-04-07,346.44000244140625,348.0199890136719,337.239990234375,346.6499938964844,74515400,TSLA
2026-04-08,363.7900085449219,364.5,339.6700134277344,343.25,78838600,TSLA
2026-04-09,343.1499938964844,348.8800048828125,337.25,345.6199951171875,62164000,TSLA
2026-04-10,346.2900085449219,350.3599853515625,342.739990234375,348.95001220703125,51336000,TSLA
2026-04-13,350.07000732421875,356.3500061035156,348.57000732421875,352.4200134277344,53399400,TSLA
2026-04-14,357.3550109863281,367.6300048828125,354.7699890136719,365.2200012207031,39115255,TSLA
2026-03-16,398.07000732421875,400.6300048828125,394.7900085449219,399.95001220703125,27733700,MSFT
2026-03-17,400.2699890136719,404.3999938964844,397.75,399.4100036621094,26228300,MSFT
2026-03-18,397.1300048828125,398.0,391.0,391.7900085449219,25908500,MSFT
2026-03-19,390.1000061035156,392.489990234375,387.05999755859375,389.0199890136719,25138800,MSFT
2026-03-20,386.7900085449219,387.0,380.1199951171875,381.8699951171875,50853200,MSFT
2026-03-23,383.8999938964844,387.2099914550781,381.67999267578125,383.0,29680100,MSFT
2026-03-24,382.3599853515625,382.4700012207031,371.8500061035156,372.739990234375,42733600,MSFT
2026-03-25,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200,MSFT
2026-03-26,370.82000732421875,374.7200012207031,365.19000244140625,365.9700012207031,36836600,MSFT
2026-03-27,361.8999938964844,362.45001220703125,356.510009765625,356.7699890136719,37883400,MSFT
2026-03-30,361.8999938964844,365.3599853515625,356.2799987792969,358.9599914550781,44797000,MSFT
2026-03-31,364.54998779296875,372.8999938964844,363.07000732421875,370.1700134277344,45244400,MSFT
2026-04-01,373.489990234375,373.989990234375,368.20001220703125,369.3699951171875,29417200,MSFT
2026-04-02,367.2099914550781,373.6400146484375,364.1499938964844,373.4599914550781,24099100,MSFT
2026-04-06,373.489990234375,373.7300109863281,369.5,372.8800048828125,16146600,MSFT
2026-04-07,370.3399963378906,372.45001220703125,366.55999755859375,372.2900085449219,21443300,MSFT
2026-04-08,384.9800109863281,385.0,371.4100036621094,374.3299865722656,33064800,MSFT
2026-04-09,372.5,373.5,367.04998779296875,373.07000732421875,30435300,MSFT
2026-04-10,372.9800109863281,375.6400146484375,370.0299987792969,370.8699951171875,28111100,MSFT
2026-04-13,373.6099853515625,384.5400085449219,371.0199890136719,384.3699951171875,35563300,MSFT
2026-04-14,387.8399963378906,394.6300048828125,386.5199890136719,394.2699890136719,20662881,MSFT
